latitude,longitude,elevation,slope,aspect,label,spatial_group,date,rainfall_7d_mm,sar_vv,sar_vh
27.2644,88.1365,1272.0,15.588801383972168,234.4623260498047,1,27_88,2009/08/19 00:00:00+00,423.4,0.0,0.0
27.5509,88.6475,1390.0,40.758174896240234,78.05582427978516,1,27_88,2010/07/21 00:00:00+00,320.2,0.0,0.0
26.1844,91.7896,63.0,4.635463237762451,126.8698959350586,1,26_91,2014/06/26 00:00:00+00,241.5,0.0,0.0
26.1699,91.7986,147.0,1.3137449026107788,45.0,1,26_91,2007/07/19 00:00:00+00,168.1,0.0,0.0
27.059,88.4694,1182.0,9.948770523071289,146.3099365234375,1,27_88,2014/07/15 00:00:00+00,113.7,0.0,0.0
25.8833,91.2,256.0,25.067710876464844,146.3099365234375,1,25_91,2010/06/09 00:00:00+00,177.7,0.0,0.0
27.0366,88.263,2113.0,18.073837280273438,296.5650634765625,1,27_88,2010/08/05 00:00:00+00,229.6,0.0,0.0
25.4916,91.2698,1496.0,11.342076301574707,104.03624725341797,1,25_91,2010/06/28 00:00:00+00,416.7,0.0,0.0
27.1675,88.3651,1511.0,20.471878051757812,87.51044464111328,1,27_88,2012/09/16 00:00:00+00,394.0,0.0,0.0
26.09748244,91.8744337,188.0,34.53523635864258,304.4389953613281,1,26_91,2016/07/19 00:00:00+00,249.5,0.0,0.0
27.02459801,88.43849551,435.0,35.4241943359375,46.84761047363281,1,27_88,2009/08/16 00:00:00+00,449.1,0.0,0.0
27.0165,88.2476,2189.0,7.941351890563965,35.53767776489258,1,27_88,2015/06/13 00:00:00+00,272.3,0.0,0.0
27.0605,88.255,1977.0,30.208181381225586,192.875,1,27_88,2011/09/25 00:00:00+00,164.2,0.0,0.0
26.1665,91.7049,235.0,13.787696838378906,82.40535736083984,1,26_91,2013/10/06 00:00:00+00,82.89999999999999,0.0,0.0
27.1344,88.4575,629.0,22.570419311523438,339.4439697265625,1,27_88,2009/08/20 00:00:00+00,550.6,0.0,0.0
27.0599,88.4674,1239.0,12.822391510009766,184.0856170654297,1,27_88,2013/09/16 00:00:00+00,17.0,0.0,0.0
27.0377,88.3603,1484.0,20.471878051757812,124.3803482055664,1,27_88,2012/09/14 00:00:00+00,248.9,0.0,0.0
26.149,91.7351,54.0,1.8575903177261353,270.0,1,26_91,2012/06/20 00:00:00+00,189.8,0.0,0.0
25.5728,91.885,1504.0,9.390222549438477,281.3099365234375,1,25_91,2010/06/28 00:00:00+00,348.7,0.0,0.0
27.2084,88.4909,339.0,24.908353805541992,347.9052429199219,1,27_88,2007/09/11 00:00:00+00,445.9,0.0,0.0
27.2319,88.497,360.0,10.47530746459961,37.87498474121094,1,27_88,2010/08/26 00:00:00+00,413.0,0.0,0.0
27.0257,88.4301,296.0,40.3155403137207,225.0,1,27_88,2015/06/17 00:00:00+00,107.0,0.0,0.0
25.1472,91.7483,20.0,1.3137449026107788,315.0,1,25_91,2015/02/22 00:00:00+00,12.899999999999999,0.0,0.0
27.3702,88.7334,3523.0,12.695809364318848,30.256437301635742,1,27_88,2010/09/04 00:00:00+00,149.8,0.0,0.0
27.3383,88.6069,1516.0,14.158326148986816,45.0,1,27_88,2007/05/23 00:00:00+00,81.2,0.0,0.0
27.1141,88.4658,283.0,45.70268249511719,94.53777313232422,1,27_88,2011/07/20 00:00:00+00,412.0,0.0,0.0
25.9703,91.8584,289.0,11.04906177520752,131.633544921875,1,25_91,2015/09/06 00:00:00+00,473.4,0.0,0.0
27.3543,88.6428,2119.0,15.412236213684082,208.07249450683594,1,27_88,2010/05/31 00:00:00+00,114.60000000000001,0.0,0.0
27.7276,88.0446,5488.0,30.371654510498047,194.4207763671875,1,27_88,2010/08/29 00:00:00+00,73.3,0.0,0.0
26.1314,91.7548,76.0,7.0403242111206055,293.1985778808594,1,26_91,2014/09/22 00:00:00+00,192.8,0.0,0.0
27.6047,88.6463,1614.0,11.904265403747559,112.61986541748047,1,27_88,2013/09/08 00:00:00+00,233.3,0.0,0.0
25.52,91.27,1348.0,10.708850860595703,239.03623962402344,1,25_91,2007/09/11 00:00:00+00,426.90000000000003,0.0,0.0
27.1667,88.35,1155.0,22.131607055664062,4.573921203613281,1,27_88,2007/09/09 00:00:00+00,585.5,0.0,0.0
27.3341,88.6083,1450.0,22.305469512939453,18.434947967529297,1,27_88,2010/04/17 00:00:00+00,36.199999999999996,0.0,0.0
27.13862165,88.22551799,882.0,24.254695892333984,329.7435607910156,1,27_88,2011/08/23 00:00:00+00,466.9,0.0,0.0
